EmployeeId,Department,JobRole,Age,YearsAtCompany,MonthlyIncome,OverTime,WorkLifeBalance,JobSatisfaction,AttritionProbability,RiskLevel,Recommendations
1215,Research & Development,Research Scientist,29,1,2439,Yes,2,4,65.0,High,Reduce overtime; Review compensation; Improve work-life balance; Enhanced onboarding & mentorship
1181,Sales,Sales Executive,40,1,13194,Yes,2,2,65.0,High,Reduce overtime; Improve work-life balance; Address job satisfaction; Enhanced onboarding & mentorship
856,Research & Development,Laboratory Technician,36,8,2088,No,2,2,65.0,High,Review compensation; Improve work-life balance; Address job satisfaction; Consider promotion/career development
855,Research & Development,Manufacturing Director,35,2,9362,No,3,4,65.0,High,Monitor regularly
171,Research & Development,Healthcare Representative,51,7,13734,No,3,2,65.0,High,Address job satisfaction
629,Sales,Sales Executive,43,2,6804,No,3,4,65.0,High,Monitor regularly
712,Research & Development,Laboratory Technician,38,10,2406,No,3,4,65.0,High,Review compensation; Consider promotion/career development
176,Research & Development,Laboratory Technician,30,3,2422,No,3,2,65.0,High,Review compensation; Address job satisfaction
104,Sales,Sales Executive,27,7,9981,No,3,3,64.0,High,Monitor regularly
916,Sales,Sales Executive,59,4,5473,No,2,3,64.0,High,Improve work-life balance
1076,Research & Development,Laboratory Technician,48,1,5381,Yes,3,3,64.0,High,Reduce overtime; Enhanced onboarding & mentorship
530,Research & Development,Laboratory Technician,32,1,1393,No,3,2,64.0,High,Review compensation; Address job satisfaction; Enhanced onboarding & mentorship
1049,Research & Development,Laboratory Technician,54,1,3780,No,3,3,64.0,High,Enhanced onboarding & mentorship
337,Sales,Sales Executive,32,9,8998,No,3,4,64.0,High,Monitor regularly
1096,Research & Development,Healthcare Representative,52,8,10445,No,3,2,64.0,High,Address job satisfaction; Consider promotion/career development
1333,Research & Development,Healthcare Representative,31,1,9824,No,3,3,64.0,High,Enhanced onboarding & mentorship
385,Research & Development,Laboratory Technician,31,5,3479,No,4,2,64.0,High,Address job satisfaction
745,Research & Development,Healthcare Representative,29,8,7553,Yes,3,4,64.0,High,Reduce overtime; Consider promotion/career development
1139,Research & Development,Laboratory Technician,40,4,2166,Yes,1,1,64.0,High,Reduce overtime; Review compensation; Improve work-life balance; Address job satisfaction
1166,Research & Development,Healthcare Representative,49,7,13964,Yes,3,3,64.0,High,Reduce overtime
898,Research & Development,Laboratory Technician,29,3,2062,No,3,1,64.0,High,Review compensation; Address job satisfaction
1294,Sales,Sales Executive,43,7,5675,No,3,4,64.0,High,Consider promotion/career development
524,Research & Development,Laboratory Technician,40,5,2018,No,1,1,64.0,High,Review compensation; Improve work-life balance; Address job satisfaction
772,Research & Development,Laboratory Technician,36,4,2013,No,3,2,64.0,High,Review compensation; Address job satisfaction
1124,Research & Development,Research Director,31,3,16422,No,4,2,64.0,High,Address job satisfaction
1110,Research & Development,Laboratory Technician,32,7,3068,No,2,4,64.0,High,Improve work-life balance
1117,Research & Development,Laboratory Technician,18,0,1420,No,3,3,64.0,High,Review compensation; Enhanced onboarding & mentorship
273,Research & Development,Laboratory Technician,23,4,2272,No,3,3,64.0,High,Review compensation
677,Research & Development,Laboratory Technician,35,6,4425,No,3,2,64.0,High,Address job satisfaction
607,Sales,Sales Executive,25,6,6180,No,2,4,64.0,High,Improve work-life balance
457,Sales,Sales Executive,27,9,8726,No,3,3,64.0,High,Monitor regularly
83,Research & Development,Laboratory Technician,47,2,2105,No,3,3,64.0,High,Review compensation
844,Sales,Sales Executive,35,9,9069,No,2,1,64.0,High,Improve work-life balance; Address job satisfaction
829,Research & Development,Manufacturing Director,40,4,7945,Yes,2,4,64.0,High,Reduce overtime; Improve work-life balance
973,Human Resources,Manager,54,5,17328,Yes,3,4,64.0,High,Reduce overtime; Consider promotion/career development
981,Research & Development,Laboratory Technician,36,11,2519,No,3,3,64.0,High,Review compensation
1173,Sales,Sales Executive,31,10,5617,Yes,3,4,64.0,High,Reduce overtime
234,Sales,Sales Executive,42,21,13758,Yes,2,1,64.0,High,Reduce overtime; Improve work-life balance; Address job satisfaction; Consider promotion/career development
735,Sales,Sales Executive,36,9,9738,No,3,4,64.0,High,Monitor regularly
215,Research & Development,Laboratory Technician,35,5,4230,No,3,3,64.0,High,Consider promotion/career development
1213,Sales,Sales Executive,33,7,4682,No,2,4,64.0,High,Improve work-life balance
1263,Sales,Sales Executive,51,4,10596,No,3,2,64.0,High,Address job satisfaction
199,Research & Development,Laboratory Technician,21,1,1416,No,2,1,64.0,High,Review compensation; Improve work-life balance; Address job satisfaction; Enhanced onboarding & mentorship
568,Research & Development,Research Scientist,30,1,2285,Yes,3,4,64.0,High,Reduce overtime; Review compensation; Enhanced onboarding & mentorship
1241,Research & Development,Laboratory Technician,40,1,5094,No,3,3,64.0,High,Enhanced onboarding & mentorship
155,Research & Development,Research Director,42,1,13191,Yes,3,1,64.0,High,Reduce overtime; Address job satisfaction; Enhanced onboarding & mentorship
153,Sales,Manager,33,10,17444,No,3,3,64.0,High,Consider promotion/career development
68,Research & Development,Laboratory Technician,38,2,2288,No,3,4,64.0,High,Review compensation
1380,Research & Development,Research Scientist,22,0,2853,Yes,3,4,64.0,High,Reduce overtime; Review compensation; Enhanced onboarding & mentorship
967,Sales,Sales Executive,28,7,6834,Yes,3,4,64.0,High,Reduce overtime
407,Research & Development,Research Scientist,38,3,4317,Yes,3,3,64.0,High,Reduce overtime
1251,Research & Development,Manager,50,5,19926,No,3,2,64.0,High,Address job satisfaction; Consider promotion/career development
651,Research & Development,Laboratory Technician,19,1,1102,No,2,4,64.0,High,Review compensation; Improve work-life balance; Enhanced onboarding & mentorship
54,Research & Development,Manufacturing Director,26,6,6397,No,1,2,64.0,High,Improve work-life balance; Address job satisfaction
44,Sales,Sales Executive,32,10,6524,No,3,2,64.0,High,Address job satisfaction; Consider promotion/career development
965,Research & Development,Laboratory Technician,22,2,3894,No,3,3,64.0,High,Monitor regularly
1456,Sales,Sales Executive,40,5,9094,Yes,3,2,64.0,High,Reduce overtime; Address job satisfaction
102,Sales,Sales Representative,34,2,2351,No,2,3,64.0,High,Review compensation; Improve work-life balance
883,Research & Development,Research Director,33,15,13458,Yes,3,4,64.0,High,Reduce overtime; Consider promotion/career development
23,Sales,Sales Executive,41,14,6230,No,3,4,64.0,High,Monitor regularly
1450,Research & Development,Research Scientist,34,3,2311,No,3,2,63.0,High,Review compensation; Address job satisfaction
1353,Sales,Manager,41,1,13591,Yes,3,4,63.0,High,Reduce overtime; Enhanced onboarding & mentorship
95,Research & Development,Manufacturing Director,34,10,9547,No,2,3,63.0,High,Improve work-life balance
50,Sales,Sales Representative,21,3,3447,No,3,3,63.0,High,Monitor regularly
98,Sales,Sales Executive,53,2,10448,Yes,2,1,63.0,High,Reduce overtime; Improve work-life balance; Address job satisfaction
175,Research & Development,Manufacturing Director,31,4,4148,No,3,1,63.0,High,Address job satisfaction
862,Research & Development,Research Scientist,32,4,2439,No,3,1,63.0,High,Review compensation; Address job satisfaction
1278,Research & Development,Manufacturing Director,51,5,13142,No,2,2,63.0,High,Improve work-life balance; Address job satisfaction
1235,Research & Development,Laboratory Technician,39,5,6782,No,2,2,63.0,High,Improve work-life balance; Address job satisfaction
139,Sales,Sales Representative,37,9,2793,No,3,4,63.0,High,Review compensation; Consider promotion/career development
140,Research & Development,Healthcare Representative,31,10,6812,No,3,1,63.0,High,Address job satisfaction
687,Sales,Sales Executive,35,4,4614,Yes,2,3,63.0,High,Reduce overtime; Improve work-life balance
920,Sales,Sales Executive,28,4,4898,No,3,1,63.0,High,Address job satisfaction
714,Human Resources,Human Resources,27,1,2863,No,3,2,63.0,High,Review compensation; Address job satisfaction; Enhanced onboarding & mentorship
949,Research & Development,Laboratory Technician,24,0,3172,Yes,2,1,63.0,High,Reduce overtime; Improve work-life balance; Address job satisfaction; Enhanced onboarding & mentorship
858,Research & Development,Manufacturing Director,59,5,13726,Yes,3,4,63.0,High,Reduce overtime; Consider promotion/career development
722,Research & Development,Manufacturing Director,31,10,8943,No,3,3,63.0,High,Consider promotion/career development
726,Research & Development,Research Scientist,30,5,2657,Yes,3,1,63.0,High,Reduce overtime; Review compensation; Address job satisfaction
172,Research & Development,Laboratory Technician,32,3,3730,Yes,1,3,63.0,High,Reduce overtime; Improve work-life balance
169,Sales,Sales Executive,44,1,4768,No,2,3,63.0,High,Improve work-life balance; Enhanced onboarding & mentorship
766,Research & Development,Healthcare Representative,35,11,8606,No,1,2,63.0,High,Improve work-life balance; Address job satisfaction
1125,Sales,Sales Executive,33,5,9998,No,4,4,63.0,High,Monitor regularly
235,Research & Development,Research Scientist,34,5,2553,No,3,4,63.0,High,Review compensation
219,Research & Development,Healthcare Representative,43,5,5562,No,2,4,63.0,High,Improve work-life balance
1171,Research & Development,Laboratory Technician,38,1,1702,Yes,3,4,63.0,High,Reduce overtime; Review compensation; Enhanced onboarding & mentorship
1170,Sales,Sales Executive,40,18,10475,Yes,3,1,63.0,High,Reduce overtime; Address job satisfaction
386,Sales,Sales Executive,38,1,6861,Yes,3,4,63.0,High,Reduce overtime; Enhanced onboarding & mentorship
1161,Research & Development,Laboratory Technician,35,3,2450,No,3,1,63.0,High,Review compensation; Address job satisfaction
995,Research & Development,Laboratory Technician,44,5,3708,No,3,3,63.0,High,Monitor regularly
345,Sales,Sales Representative,37,5,2973,No,3,4,63.0,High,Review compensation
366,Research & Development,Research Scientist,58,1,2479,No,3,3,63.0,High,Review compensation; Enhanced onboarding & mentorship
371,Research & Development,Laboratory Technician,42,0,3968,No,3,3,63.0,High,Enhanced onboarding & mentorship
370,Research & Development,Laboratory Technician,36,13,5914,No,4,2,63.0,High,Address job satisfaction
1130,Research & Development,Laboratory Technician,24,6,2886,Yes,3,3,63.0,High,Reduce overtime; Review compensation
1154,Sales,Sales Executive,47,7,4960,No,3,1,63.0,High,Address job satisfaction
1151,Research & Development,Research Scientist,29,6,2058,No,2,3,63.0,High,Review compensation; Improve work-life balance
545,Research & Development,Healthcare Representative,33,0,6388,Yes,3,3,63.0,High,Reduce overtime; Enhanced onboarding & mentorship
364,Research & Development,Research Director,53,12,14275,No,3,4,63.0,High,Monitor regularly
1140,Research & Development,Laboratory Technician,33,1,2496,No,3,4,63.0,High,Review compensation; Enhanced onboarding & mentorship
456,Sales,Sales Executive,35,8,9582,Yes,3,1,63.0,High,Reduce overtime; Address job satisfaction; Consider promotion/career development
979,Research & Development,Research Scientist,28,3,2080,No,2,1,63.0,High,Review compensation; Improve work-life balance; Address job satisfaction
935,Research & Development,Manufacturing Director,36,11,7779,No,3,4,63.0,High,Monitor regularly
741,Research & Development,Manager,55,9,16756,No,4,1,63.0,High,Address job satisfaction; Consider promotion/career development
579,Sales,Sales Executive,46,9,5772,Yes,3,4,63.0,High,Reduce overtime
558,Research & Development,Research Scientist,33,2,2313,Yes,3,2,63.0,High,Reduce overtime; Review compensation; Address job satisfaction
1158,Research & Development,Manufacturing Director,37,6,7491,No,4,4,63.0,High,Monitor regularly
475,Research & Development,Laboratory Technician,24,4,3597,No,3,2,63.0,High,Address job satisfaction
132,Research & Development,Healthcare Representative,45,4,5399,No,3,3,63.0,High,Monitor regularly
671,Research & Development,Research Scientist,27,4,2580,No,2,4,63.0,High,Review compensation; Improve work-life balance
666,Sales,Sales Executive,35,5,4968,No,3,4,63.0,High,Monitor regularly
461,Research & Development,Healthcare Representative,40,3,4876,No,1,4,63.0,High,Improve work-life balance
1187,Research & Development,Laboratory Technician,19,1,1483,No,3,2,63.0,High,Review compensation; Address job satisfaction; Enhanced onboarding & mentorship
1203,Sales,Sales Executive,33,3,4302,No,3,2,63.0,High,Address job satisfaction
195,Sales,Sales Executive,30,8,5304,No,2,4,63.0,High,Improve work-life balance; Consider promotion/career development
1011,Sales,Sales Representative,29,3,2157,No,3,4,63.0,High,Review compensation
1361,Research & Development,Laboratory Technician,48,1,2559,No,2,2,63.0,High,Review compensation; Improve work-life balance; Address job satisfaction; Enhanced onboarding & mentorship
279,Sales,Manager,55,10,16835,No,3,2,63.0,High,Address job satisfaction; Consider promotion/career development
763,Research & Development,Laboratory Technician,30,5,2720,No,3,4,63.0,High,Review compensation
294,Sales,Sales Executive,27,4,4342,No,3,4,63.0,High,Monitor regularly
284,Sales,Sales Executive,32,0,4648,No,4,4,63.0,High,Enhanced onboarding & mentorship
125,Research & Development,Laboratory Technician,26,7,2867,No,2,1,63.0,High,Review compensation; Improve work-life balance; Address job satisfaction; Consider promotion/career development
1334,Research & Development,Research Scientist,35,6,2559,No,2,1,63.0,High,Review compensation; Improve work-life balance; Address job satisfaction
776,Research & Development,Research Scientist,42,2,2515,Yes,3,4,63.0,High,Reduce overtime; Review compensation
1071,Research & Development,Manager,55,5,16659,Yes,3,4,63.0,High,Reduce overtime
794,Human Resources,Human Resources,44,10,5743,Yes,3,4,63.0,High,Reduce overtime
505,Sales,Sales Representative,19,0,1675,Yes,2,3,63.0,High,Reduce overtime; Review compensation; Improve work-life balance; Enhanced onboarding & mentorship
1329,Sales,Sales Representative,45,8,6632,No,3,3,63.0,High,Monitor regularly
1088,Research & Development,Laboratory Technician,30,12,4011,No,3,4,63.0,High,Monitor regularly
908,Sales,Sales Executive,35,10,5813,Yes,3,4,63.0,High,Reduce overtime; Consider promotion/career development
911,Sales,Sales Representative,38,1,2858,No,2,1,63.0,High,Review compensation; Improve work-life balance; Address job satisfaction; Enhanced onboarding & mentorship
802,Sales,Sales Executive,47,5,6397,Yes,3,3,63.0,High,Reduce overtime
468,Sales,Sales Executive,35,10,8789,No,4,3,63.0,High,Monitor regularly
1013,Research & Development,Research Scientist,54,4,4869,No,2,3,63.0,High,Improve work-life balance
1300,Research & Development,Manufacturing Director,36,16,5410,Yes,3,2,63.0,High,Reduce overtime; Address job satisfaction; Consider promotion/career development
1041,Research & Development,Manufacturing Director,34,3,4033,No,2,3,63.0,High,Improve work-life balance
1038,Research & Development,Laboratory Technician,28,2,3441,Yes,2,3,63.0,High,Reduce overtime; Improve work-life balance
1046,Research & Development,Healthcare Representative,35,1,6540,No,3,2,63.0,High,Address job satisfaction; Enhanced onboarding & mentorship
1003,Research & Development,Laboratory Technician,22,0,2871,No,3,4,63.0,High,Review compensation; Enhanced onboarding & mentorship
872,Research & Development,Manufacturing Director,31,10,7446,No,3,2,63.0,High,Address job satisfaction; Consider promotion/career development
1020,Sales,Sales Executive,29,5,5765,No,1,2,63.0,High,Improve work-life balance; Address job satisfaction
427,Research & Development,Healthcare Representative,46,10,10673,Yes,2,1,63.0,High,Reduce overtime; Improve work-life balance; Address job satisfaction; Consider promotion/career development
682,Sales,Sales Executive,33,5,8224,Yes,3,1,62.0,High,Reduce overtime; Address job satisfaction
420,Research & Development,Research Scientist,32,10,3919,Yes,3,1,62.0,High,Reduce overtime; Address job satisfaction; Consider promotion/career development
22,Research & Development,Manufacturing Director,40,20,13237,No,3,3,62.0,High,Consider promotion/career development
960,Sales,Sales Executive,39,2,4127,No,3,4,62.0,High,Monitor regularly
959,Sales,Sales Executive,38,1,7351,No,3,2,62.0,High,Address job satisfaction; Enhanced onboarding & mentorship
442,Research & Development,Manufacturing Director,38,15,5980,Yes,3,1,62.0,High,Reduce overtime; Address job satisfaction; Consider promotion/career development
1338,Research & Development,Manufacturing Director,38,8,5321,No,3,3,62.0,High,Consider promotion/career development
694,Research & Development,Healthcare Representative,33,5,6949,No,3,4,62.0,High,Monitor regularly
1269,Research & Development,Manufacturing Director,30,5,6091,No,3,4,62.0,High,Monitor regularly
141,Research & Development,Research Director,48,1,18265,No,4,4,62.0,High,Enhanced onboarding & mentorship
587,Sales,Sales Executive,60,18,10266,No,4,1,62.0,High,Address job satisfaction; Consider promotion/career development
597,Human Resources,Human Resources,45,6,2177,No,3,2,62.0,High,Review compensation; Address job satisfaction
1239,Research & Development,Manufacturing Director,37,1,4197,Yes,2,2,62.0,High,Reduce overtime; Improve work-life balance; Address job satisfaction; Enhanced onboarding & mentorship
704,Sales,Sales Executive,29,11,7918,No,3,4,62.0,High,Consider promotion/career development
921,Research & Development,Research Scientist,29,9,2362,No,1,1,62.0,High,Review compensation; Improve work-life balance; Address job satisfaction
168,Sales,Manager,41,22,16015,No,3,2,62.0,High,Address job satisfaction
398,Research & Development,Manufacturing Director,32,1,9679,No,3,4,62.0,High,Enhanced onboarding & mentorship
58,Sales,Sales Executive,32,10,5396,No,2,4,62.0,High,Improve work-life balance
1381,Research & Development,Manufacturing Director,35,7,6883,No,3,3,62.0,High,Monitor regularly
861,Research & Development,Laboratory Technician,45,10,5769,Yes,3,1,62.0,High,Reduce overtime; Address job satisfaction
727,Research & Development,Manufacturing Director,39,2,8376,No,3,2,62.0,High,Address job satisfaction
1240,Research & Development,Laboratory Technician,20,2,3033,No,2,3,62.0,High,Improve work-life balance
1347,Sales,Sales Executive,30,5,6577,No,3,3,62.0,High,Consider promotion/career development
1350,Research & Development,Healthcare Representative,27,7,6811,No,1,1,62.0,High,Improve work-life balance; Address job satisfaction
1422,Sales,Sales Executive,25,2,8639,No,3,3,62.0,High,Monitor regularly
600,Research & Development,Healthcare Representative,35,5,6142,Yes,3,3,62.0,High,Reduce overtime
652,Research & Development,Laboratory Technician,37,0,2090,Yes,3,3,62.0,High,Reduce overtime; Review compensation; Enhanced onboarding & mentorship
1417,Sales,Sales Executive,41,10,9241,No,3,3,62.0,High,Consider promotion/career development
637,Sales,Sales Executive,52,8,8446,Yes,2,2,62.0,High,Reduce overtime; Improve work-life balance; Address job satisfaction; Consider promotion/career development
55,Research & Development,Laboratory Technician,31,2,3722,Yes,1,4,62.0,High,Reduce overtime; Improve work-life balance
51,Research & Development,Manufacturing Director,35,8,10221,No,4,3,62.0,High,Monitor regularly
1442,Research & Development,Laboratory Technician,52,2,3212,No,2,4,62.0,High,Improve work-life balance
1444,Research & Development,Research Scientist,24,6,3760,Yes,3,4,62.0,High,Reduce overtime
1447,Sales,Sales Executive,26,2,4969,No,3,1,62.0,High,Address job satisfaction
211,Sales,Sales Executive,34,9,4568,No,3,3,62.0,High,Consider promotion/career development
974,Sales,Sales Representative,36,3,2644,Yes,2,4,62.0,High,Reduce overtime; Review compensation; Improve work-life balance
1157,Research & Development,Healthcare Representative,34,14,6687,No,4,4,62.0,High,Consider promotion/career development
491,Sales,Sales Executive,36,5,9278,Yes,3,2,62.0,High,Reduce overtime; Address job satisfaction
808,Research & Development,Healthcare Representative,48,2,4240,No,3,3,62.0,High,Monitor regularly
822,Sales,Sales Executive,33,10,4539,No,2,3,62.0,High,Improve work-life balance
824,Research & Development,Laboratory Technician,42,12,3673,No,3,4,62.0,High,Consider promotion/career development
252,Sales,Sales Executive,28,2,9854,Yes,3,3,62.0,High,Reduce overtime
550,Research & Development,Research Scientist,26,6,3102,No,3,1,62.0,High,Address job satisfaction
1149,Sales,Sales Executive,42,5,6244,No,3,3,62.0,High,Monitor regularly
255,Research & Development,Laboratory Technician,32,8,4025,No,3,3,62.0,High,Consider promotion/career development
548,Sales,Sales Executive,50,3,10854,Yes,3,1,62.0,High,Reduce overtime; Address job satisfaction
383,Research & Development,Laboratory Technician,26,7,2570,No,3,4,62.0,High,Review compensation; Consider promotion/career development
375,Research & Development,Research Scientist,21,0,1232,No,3,4,62.0,High,Review compensation; Enhanced onboarding & mentorship
1175,Research & Development,Research Director,47,3,18300,No,3,3,62.0,High,Monitor regularly
384,Sales,Sales Executive,56,0,5380,No,3,1,62.0,High,Address job satisfaction; Enhanced onboarding & mentorship
365,Research & Development,Healthcare Representative,34,13,5343,No,3,1,62.0,High,Address job satisfaction; Consider promotion/career development
739,Research & Development,Laboratory Technician,44,1,3161,Yes,1,3,62.0,High,Reduce overtime; Improve work-life balance; Enhanced onboarding & mentorship
193,Research & Development,Manufacturing Director,39,9,5042,No,1,3,62.0,High,Improve work-life balance
467,Research & Development,Manufacturing Director,40,1,6516,Yes,3,1,62.0,High,Reduce overtime; Address job satisfaction; Enhanced onboarding & mentorship
1369,Sales,Sales Executive,27,6,5071,No,3,4,62.0,High,Monitor regularly
614,Sales,Sales Executive,36,13,9699,No,3,4,62.0,High,Monitor regularly
419,Research & Development,Healthcare Representative,39,19,10938,No,3,3,62.0,High,Consider promotion/career development
182,Research & Development,Healthcare Representative,39,6,10920,No,3,3,62.0,High,Monitor regularly
1224,Sales,Sales Executive,50,4,6796,Yes,3,3,62.0,High,Reduce overtime
418,Research & Development,Healthcare Representative,34,5,6142,No,3,3,62.0,High,Consider promotion/career development
931,Research & Development,Laboratory Technician,31,2,2610,No,2,3,62.0,High,Review compensation; Improve work-life balance
975,Research & Development,Laboratory Technician,40,10,6323,No,4,3,62.0,High,Consider promotion/career development
838,Research & Development,Research Director,58,2,15787,Yes,3,3,62.0,High,Reduce overtime
845,Research & Development,Manufacturing Director,48,10,7898,No,3,4,62.0,High,Monitor regularly
928,Human Resources,Human Resources,26,7,2741,Yes,2,3,62.0,High,Reduce overtime; Review compensation; Improve work-life balance
134,Research & Development,Research Scientist,27,8,2394,Yes,3,3,62.0,High,Reduce overtime; Review compensation; Consider promotion/career development
1299,Research & Development,Manufacturing Director,41,5,6032,Yes,3,2,62.0,High,Reduce overtime; Address job satisfaction
1310,Research & Development,Manufacturing Director,30,0,6877,Yes,2,4,62.0,High,Reduce overtime; Improve work-life balance; Enhanced onboarding & mentorship
